"Sample Date","Location History ID","Parameter","Water Layer (m)","Fraction","Results","Units"
"2017-08-18","0704CAN0286_CSL1","anatoxin_a","epilimnion","","0","ug/L"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.699","ug/L"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.3","ug/L"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","1.6","ug/L"
"2017-08-18","0704CAN0286_CSL1","TEMPERATURE","hypolimnion","","21","celsius"
"2017-08-18","0704CAN0286_CSL1","microcystin","epilimnion","","0","ug/L"
"2017-08-18","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.332","mg/L"
"2017-08-18","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","2.4","ug/L"
"2017-08-18","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0066","mg/L"
"2017-08-18","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.327","mg/L"
"2017-08-18","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","370","uS/cm"
"2017-08-18","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.0062","mg/L"
"2017-08-18","0704CAN0286_CSL1","CALCIUM","epilimnion","TOTAL","31.3","mg/L"
"2017-08-18","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","4","color units"
"2017-08-18","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","40","ug/L"
"2017-08-18","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","5.95","meters"
"2017-08-18","0704CAN0286_CSL1","bmaa_beta-methyl-amino-l-alanine","epilimnion","","0","ug/L"
"2017-08-18","0704CAN0286_CSL1","PH","epilimnion","","7.74","pH units"
"2017-08-18","0704CAN0286_CSL1","cylindrospermopsin","epilimnion","","0","ug/L"
"2017-08-18","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","25","celsius"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.115","ug/L"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0","ug/L"
"2017-09-04","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","1","ug/L"
"2017-09-04","0704CAN0286_CSL1","cylindrospermopsin","epilimnion","","0","ug/L"
"2017-09-04","0704CAN0286_CSL1","bmaa_beta-methyl-amino-l-alanine","epilimnion","","0","ug/L"
"2017-09-04","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.0083","mg/L"
"2017-09-04","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","390","uS/cm"
"2017-09-04","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0086","mg/L"
"2017-09-04","0704CAN0286_CSL1","microcystin","epilimnion","","0","ug/L"
"2017-09-04","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.9","ug/L"
"2017-09-04","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","5","color units"
"2017-09-04","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","21","celsius"
"2017-09-04","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.7","ug/L"
"2017-09-04","0704CAN0286_CSL1","anatoxin_a","epilimnion","","0","ug/L"
"2017-09-04","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","1","ug/L"
"2017-09-04","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.251","mg/L"
"2017-09-04","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","1.1","ug/L"
"2017-09-04","0704CAN0286_CSL1","PH","epilimnion","","7.44","pH units"
"2017-09-04","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","7","ug/L"
"2017-09-04","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","3.7","ug/L"
"2017-09-04","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","3.9","meters"
"2017-09-04","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.224","mg/L"
"2017-09-04","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.027","mg/L"
"2017-09-10","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","4.55","meters"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","1.5","ug/L"
"2017-09-10","0704CAN0286_CSL1","microcystin","epilimnion","","0","ug/L"
"2017-09-10","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.006","mg/L"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.265","ug/L"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.7","ug/L"
"2017-09-10","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","7","ug/L"
"2017-09-10","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","20","celsius"
"2017-09-10","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","320","uS/cm"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","1.23","ug/L"
"2017-09-10","0704CAN0286_CSL1","bmaa_beta-methyl-amino-l-alanine","epilimnion","","0","ug/L"
"2017-09-10","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","2.6","ug/L"
"2017-09-10","0704CAN0286_CSL1","cylindrospermopsin","epilimnion","","0","ug/L"
"2017-09-10","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0077","mg/L"
"2017-09-10","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","3","color units"
"2017-09-10","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.022","mg/L"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.2","ug/L"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.6","ug/L"
"2017-09-10","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.25","mg/L"
"2017-09-10","0704CAN0286_CSL1","anatoxin_a","epilimnion","","0","ug/L"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.794","ug/L"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0","ug/L"
"2017-09-10","0704CAN0286_CSL1","PH","epilimnion","","7.71","pH units"
"2017-09-10","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","","2.99","RFU"
"2017-09-10","0704CAN0286_CSL1","TEMPERATURE","hypolimnion","","18","celsius"
"2017-09-10","0704CAN0286_CSL1","CHLORIDE","epilimnion","TOTAL","46","mg/L"
"2017-09-10","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.7","ug/L"
"2017-09-10","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.319","mg/L"
"2017-09-15","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","14","ug/L"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0","ug/L"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.6","ug/L"
"2017-09-15","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","1.5","ug/L"
"2017-09-15","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","244","uS/cm"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.2","ug/L"
"2017-09-15","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.25","mg/L"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","1.1","ug/L"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.578","ug/L"
"2017-09-15","0704CAN0286_CSL1","anatoxin_a","epilimnion","","0","ug/L"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.21","ug/L"
"2017-09-15","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.022","mg/L"
"2017-09-15","0704CAN0286_CSL1","bmaa_beta-methyl-amino-l-alanine","epilimnion","","0","ug/L"
"2017-09-15","0704CAN0286_CSL1","PH","epilimnion","","8.44","pH units"
"2017-09-15","0704CAN0286_CSL1","microcystin","epilimnion","","0","ug/L"
"2017-09-15","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","","1.68","RFU"
"2017-09-15","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.3","ug/L"
"2017-09-15","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","22","celsius"
