"Sample Date","Location History ID","Bloom Status"
"2024-08-23","0704CAN0286_3605","confirmed"
"2024-08-24","0704CAN0286_3605","confirmed"
"2024-08-26","0704CAN0286_3605","confirmed"
"2021-10-07","0704CAN0286_3606","confirmed"
"2025-10-06","0704CAN0286_3606","confirmed"
"2025-10-17","0704CAN0286_3606","confirmed"
"2025-11-02","0704CAN0286_3606","confirmed"
"2020-09-08","0704CAN0286_3607","confirmed"
"2020-09-21","0704CAN0286_3607","confirmed"
"2020-09-27","0704CAN0286_3607","confirmed"
"2021-09-19","0704CAN0286_3607","confirmed"
"2023-10-04","0704CAN0286_3607","confirmed"
"2024-09-11","0704CAN0286_3607","confirmed"
"2024-09-12","0704CAN0286_3607","confirmed"
"2025-09-16","0704CAN0286_3607","confirmed"
"2018-09-16","0704CAN0286_3608","confirmed_with_high_toxins"
"2020-09-08","0704CAN0286_3608","confirmed"
"2021-09-19","0704CAN0286_3608","confirmed"
"2021-10-06","0704CAN0286_3608","confirmed"
"2022-09-17","0704CAN0286_3608","confirmed"
"2022-09-24","0704CAN0286_3608","confirmed"
"2023-09-06","0704CAN0286_3608","confirmed"
"2023-10-01","0704CAN0286_3608","confirmed"
"2023-10-02","0704CAN0286_3608","confirmed"
"2024-07-30","0704CAN0286_3608","confirmed"
"2024-08-24","0704CAN0286_3608","confirmed"
"2024-08-25","0704CAN0286_3608","confirmed"
"2024-08-26","0704CAN0286_3608","confirmed"
"2024-08-27","0704CAN0286_3608","confirmed"
"2024-08-29","0704CAN0286_3608","confirmed"
"2024-09-11","0704CAN0286_3608","confirmed"
"2024-09-12","0704CAN0286_3608","confirmed"
"2024-09-13","0704CAN0286_3608","confirmed"
"2024-09-14","0704CAN0286_3608","confirmed"
"2024-09-15","0704CAN0286_3608","confirmed"
"2024-09-16","0704CAN0286_3608","confirmed"
"2024-09-17","0704CAN0286_3608","confirmed"
"2024-09-18","0704CAN0286_3608","confirmed"
"2024-09-19","0704CAN0286_3608","confirmed"
"2024-09-20","0704CAN0286_3608","confirmed"
"2024-09-21","0704CAN0286_3608","confirmed"
"2025-09-16","0704CAN0286_3608","confirmed"
"2025-09-27","0704CAN0286_3608","confirmed"
"2025-10-02","0704CAN0286_3608","confirmed"
"2018-09-16","0704CAN0286_3609","confirmed_with_high_toxins"
"2019-09-03","0704CAN0286_3609","confirmed_with_high_toxins"
"2020-08-10","0704CAN0286_3609","confirmed"
"2020-09-22","0704CAN0286_3609","confirmed"
"2021-10-08","0704CAN0286_3609","confirmed"
"2021-10-14","0704CAN0286_3609","confirmed"
"2023-09-07","0704CAN0286_3609","confirmed"
"2023-09-20","0704CAN0286_3609","confirmed"
"2023-10-02","0704CAN0286_3609","confirmed"
"2023-10-03","0704CAN0286_3609","confirmed"
"2020-09-08","0704CAN0286_3613","confirmed"
"2021-10-06","0704CAN0286_3613","confirmed"
"2023-10-02","0704CAN0286_3613","confirmed"
"2025-09-16","0704CAN0286_3613","confirmed"
"2025-09-25","0704CAN0286_3613","confirmed"
"2018-09-04","0704CAN0286_3614","confirmed_with_high_toxins"
"2019-09-16","0704CAN0286_3614","confirmed_with_high_toxins"
"2020-09-08","0704CAN0286_3601","confirmed"
"2023-10-02","0704CAN0286_3601","confirmed"
"2024-08-16","0704CAN0286_3601","confirmed"
"2024-09-11","0704CAN0286_3601","confirmed"
"2024-09-19","0704CAN0286_3601","confirmed"
"2024-09-20","0704CAN0286_3601","confirmed"
"2024-10-22","0704CAN0286_3601","confirmed"
"2025-10-04","0704CAN0286_3601","confirmed"
